ma_don_vi,ten_don_vi,thang,linh_vuc,tiep_nhan,da_xu_ly,dung_han,truc_tuyen,thoi_gian_tb_ngay
DV06,Xã Long Thành,2026-09,Đăng ký kinh doanh,5,4,3,2,4.5
DV06,Xã Long Thành,2026-10,Hộ tịch,19,17,13,11,5.0
DV06,Xã Long Thành,2026-10,Đất đai,8,7,5,4,4.0
DV06,Xã Long Thành,2026-10,Chứng thực,22,21,17,9,4.9
DV06,Xã Long Thành,2026-10,Bảo trợ xã hội,5,4,3,2,4.4
DV06,Xã Long Thành,2026-10,Đăng ký kinh doanh,4,3,2,2,4.4
DV06,Xã Long Thành,2026-11,Hộ tịch,18,17,12,9,4.7
DV06,Xã Long Thành,2026-11,Đất đai,8,7,5,4,4.0
DV06,Xã Long Thành,2026-11,Chứng thực,20,19,15,8,4.0
DV06,Xã Long Thành,2026-11,Bảo trợ xã hội,6,5,3,2,4.9
DV06,Xã Long Thành,2026-11,Đăng ký kinh doanh,4,3,2,1,3.8
DV06,Xã Long Thành,2026-12,Hộ tịch,21,19,14,11,3.8
DV06,Xã Long Thành,2026-12,Đất đai,14,13,10,5,3.8
DV06,Xã Long Thành,2026-12,Chứng thực,33,31,23,16,3.9
DV06,Xã Long Thành,2026-12,Bảo trợ xã hội,6,5,3,2,4.2
DV06,Xã Long Thành,2026-12,Đăng ký kinh doanh,5,4,3,2,4.7
DV07,Xã Phú Điền,2026-01,Hộ tịch,6,5,3,3,4.2
DV07,Xã Phú Điền,2026-01,Đất đai,5,4,3,2,5.4
DV07,Xã Phú Điền,2026-01,Chứng thực,10,9,6,4,5.4
DV07,Xã Phú Điền,2026-01,Bảo trợ xã hội,3,2,1,1,4.2
DV07,Xã Phú Điền,2026-01,Đăng ký kinh doanh,3,2,1,1,4.3
DV07,Xã Phú Điền,2026-02,Hộ tịch,9,8,5,4,4.7
DV07,Xã Phú Điền,2026-02,Đất đai,3,2,1,1,4.5
DV07,Xã Phú Điền,2026-02,Chứng thực,10,9,7,4,4.9
DV07,Xã Phú Điền,2026-02,Bảo trợ xã hội,3,2,1,1,4.8
DV07,Xã Phú Điền,2026-02,Đăng ký kinh doanh,3,2,1,1,5.4
DV07,Xã Phú Điền,2026-03,Hộ tịch,13,12,8,5,5.0
DV07,Xã Phú Điền,2026-03,Đất đai,6,5,3,,4.3
DV07,Xã Phú Điền,2026-03,Chứng thực,12,11,7,6,5.0
DV07,Xã Phú Điền,2026-03,Bảo trợ xã hội,3,2,1,1,5.2
DV07,Xã Phú Điền,2026-03,Đăng ký kinh doanh,3,2,1,1,4.9
DV07,Xã Phú Điền,2026-04,Hộ tịch,11,10,7,5,5.0
DV07,Xã Phú Điền,2026-04,Đất đai,5,4,3,2,5.4
DV07,Xã Phú Điền,2026-04,Chứng thực,12,11,8,5,4.7
DV07,Xã Phú Điền,2026-04,Bảo trợ xã hội,3,2,1,1,4.6
DV07,Xã Phú Điền,2026-04,Đăng ký kinh doanh,3,2,1,1,5.2
DV07,Xã Phú Điền,2026-05,Hộ tịch,10,9,6,4,4.2
DV07,Xã Phú Điền,2026-05,Đất đai,6,5,3,2,4.8
DV07,Xã Phú Điền,2026-05,Chứng thực,16,15,11,8,4.8
DV07,Xã Phú Điền,2026-05,Bảo trợ xã hội,3,2,1,1,4.9
DV07,Xã Phú Điền,2026-05,Đăng ký kinh doanh,3,2,1,1,4.3
DV07,Xã Phú Điền,2026-06,Hộ tịch,12,11,8,5,5.4
DV07,Xã Phú Điền,2026-06,Đất đai,7,6,4,3,4.7
DV07,Xã Phú Điền,2026-06,Chứng thực,15,14,9,8,4.2
DV07,Xã Phú Điền,2026-06,Bảo trợ xã hội,5,4,3,2,4.4
DV07,Xã Phú Điền,2026-06,Đăng ký kinh doanh,3,2,1,1,4.7
DV07,Xã Phú Điền,2026-07,Hộ tịch,11,10,7,4,5.3
DV07,Xã Phú Điền,2026-07,Đất đai,7,6,4,3,4.9
DV07,Xã Phú Điền,2026-07,Chứng thực,15,14,9,6,4.3
DV07,Xã Phú Điền,2026-07,Bảo trợ xã hội,3,2,1,1,4.1
DV07,Xã Phú Điền,2026-07,Đăng ký kinh doanh,3,2,1,1,4.8
DV07,Xã Phú Điền,2026-08,Hộ tịch,13,12,8,5,5.0
DV07,Xã Phú Điền,2026-08,Đất đai,7,6,4,2,4.8
DV07,Xã Phú Điền,2026-08,Chứng thực,12,11,7,4,4.5
DV07,Xã Phú Điền,2026-08,Bảo trợ xã hội,3,2,1,1,4.9
DV07,Xã Phú Điền,2026-08,Đăng ký kinh doanh,3,2,1,1,5.2
DV07,Xã Phú Điền,2026-09,Hộ tịch,12,11,7,5,4.4
DV07,Xã Phú Điền,2026-09,Đất đai,7,6,4,2,4.6
DV07,Xã Phú Điền,2026-09,Chứng thực,15,14,10,8,4.5
DV07,Xã Phú Điền,2026-09,Bảo trợ xã hội,3,2,1,1,5.4
DV07,Xã Phú Điền,2026-09,Đăng ký kinh doanh,3,2,1,1,4.7
DV07,Xã Phú Điền,2026-10,Hộ tịch,10,9,6,5,4.5
DV07,Xã Phú Điền,2026-10,Đất đai,7,6,4,3,4.6
DV07,Xã Phú Điền,2026-10,Chứng thực,17,15,10,6,4.3
DV07,Xã Phú Điền,2026-10,Bảo trợ xã hội,3,2,1,1,5.0
DV07,Xã Phú Điền,2026-10,Đăng ký kinh doanh,3,2,1,1,4.4
DV07,Xã Phú Điền,2026-11,Hộ tịch,9,8,6,4,5.3
DV07,Xã Phú Điền,2026-11,Đất đai,7,6,4,2,5.4
DV07,Xã Phú Điền,2026-11,Chứng thực,13,12,8,6,4.9
DV07,Xã Phú Điền,2026-11,Bảo trợ xã hội,3,2,1,1,4.8
DV07,Xã Phú Điền,2026-11,Đăng ký kinh doanh,3,2,1,1,5.4
DV07,Xã Phú Điền,2026-12,Hộ tịch,12,11,7,4,4.6
DV07,Xã Phú Điền,2026-12,Đất đai,6,5,3,2,5.1
DV07,Xã Phú Điền,2026-12,Chứng thực,16,15,10,6,4.5
DV07,Xã Phú Điền,2026-12,Bảo trợ xã hội,4,3,2,1,4.4
DV07,Xã Phú Điền,2026-12,Đăng ký kinh doanh,4,3,2,1,4.4
DV08,Xã Vĩnh Lộc,2026-01,Hộ tịch,8,7,5,3,5.8
DV08,Xã Vĩnh Lộc,2026-01,Đất đai,4,3,2,1,4.9
DV08,Xã Vĩnh Lộc,2026-01,Chứng thực,14,13,9,4,5.5
DV08,Xã Vĩnh Lộc,2026-01,Bảo trợ xã hội,3,2,1,1,5.4
DV08,Xã Vĩnh Lộc,2026-01,Đăng ký kinh doanh,3,2,1,1,5.4
DV08,Xã Vĩnh Lộc,2026-02,Hộ tịch,7,6,4,2,5.4
DV08,Xã Vĩnh Lộc,2026-02,Đất đai,4,3,2,1,4.4
DV08,Xã Vĩnh Lộc,2026-02,Chứng thực,11,10,7,4,5.3
DV08,Xã Vĩnh Lộc,2026-02,Bảo trợ xã hội,3,2,1,1,5.7
DV08,Xã Vĩnh Lộc,2026-02,Đăng ký kinh doanh,3,2,1,1,4.9
DV08,Xã Vĩnh Lộc,2026-03,Hộ tịch,13,12,8,4,5.0
DV08,Xã Vĩnh Lộc,2026-03,Đất đai,8,7,4,3,5.6
DV08,Xã Vĩnh Lộc,2026-03,Chứng thực,21,20,14,10,4.6
DV08,Xã Vĩnh Lộc,2026-03,Bảo trợ xã hội,4,3,2,1,5.0
DV08,Xã Vĩnh Lộc,2026-03,Đăng ký kinh doanh,3,2,1,1,5.5
DV08,Xã Vĩnh Lộc,2026-04,Hộ tịch,14,13,9,4,5.2
DV08,Xã Vĩnh Lộc,2026-04,Đất đai,6,5,3,1,5.4
DV08,Xã Vĩnh Lộc,2026-04,Chứng thực,20,19,13,7,5.8
DV08,Xã Vĩnh Lộc,2026-04,Bảo trợ xã hội,4,3,2,1,5.0
DV08,Xã Vĩnh Lộc,2026-04,Đăng ký kinh doanh,3,2,1,1,5.4
DV08,Xã Vĩnh Lộc,2026-05,Hộ tịch,12,11,7,4,5.3
DV08,Xã Vĩnh Lộc,2026-05,Đất đai,7,6,4,2,5.0
DV08,Xã Vĩnh Lộc,2026-05,Chứng thực,17,15,10,7,5.2
DV08,Xã Vĩnh Lộc,2026-05,Bảo trợ xã hội,4,3,2,1,4.6
DV08,Xã Vĩnh Lộc,2026-05,Đăng ký kinh doanh,3,2,1,0,5.7
DV08,Xã Vĩnh Lộc,2026-06,Hộ tịch,19,18,12,7,5.1
DV08,Xã Vĩnh Lộc,2026-06,Đất đai,10,9,6,3,4.6
DV08,Xã Vĩnh Lộc,2026-06,Chứng thực,21,20,13,9,5.5
DV08,Xã Vĩnh Lộc,2026-06,Bảo trợ xã hội,4,3,2,1,4.8
DV08,Xã Vĩnh Lộc,2026-06,Đăng ký kinh doanh,3,2,1,1,4.6
DV08,Xã Vĩnh Lộc,2026-07,Hộ tịch,14,13,9,5,5.6
DV08,Xã Vĩnh Lộc,2026-07,Đất đai,6,5,3,3,4.6
DV08,Xã Vĩnh Lộc,2026-07,Chứng thực,19,17,11,8,5.2
DV08,Xã Vĩnh Lộc,2026-07,Bảo trợ xã hội,4,3,2,2,4.4
DV08,Xã Vĩnh Lộc,2026-07,Đăng ký kinh doanh,3,2,1,1,5.3
DV08,Xã Vĩnh Lộc,2026-08,Hộ tịch,13,12,8,4,5.8
DV08,Xã Vĩnh Lộc,2026-08,Đất đai,8,7,4,3,5.5
DV08,Xã Vĩnh Lộc,2026-08,Chứng thực,18,17,12,7,4.9
DV08,Xã Vĩnh Lộc,2026-08,Bảo trợ xã hội,5,4,2,2,5.7
DV08,Xã Vĩnh Lộc,2026-08,Đăng ký kinh doanh,3,2,1,1,5.1
DV08,Xã Vĩnh Lộc,2026-09,Hộ tịch,12,11,7,4,5.6
DV08,Xã Vĩnh Lộc,2026-09,Đất đai,9,8,5,3,4.9
DV08,Xã Vĩnh Lộc,2026-09,Chứng thực,21,20,34,8,4.9
DV08,Xã Vĩnh Lộc,2026-09,Bảo trợ xã hội,3,2,1,0,4.4
DV08,Xã Vĩnh Lộc,2026-09,Đăng ký kinh doanh,3,2,1,1,4.5
DV08,Xã Vĩnh Lộc,2026-10,Hộ tịch,15,14,9,5,5.1
DV08,Xã Vĩnh Lộc,2026-10,Đất đai,8,7,4,3,4.7
DV08,Xã Vĩnh Lộc,2026-10,Chứng thực,19,18,13,8,5.3
DV08,Xã Vĩnh Lộc,2026-10,Bảo trợ xã hội,4,3,2,1,4.8
DV08,Xã Vĩnh Lộc,2026-10,Đăng ký kinh doanh,3,2,1,1,4.5
DV08,Xã Vĩnh Lộc,2026-11,Hộ tịch,14,13,9,4,4.5
DV08,Xã Vĩnh Lộc,2026-11,Đất đai,8,7,4,2,5.5
DV08,Xã Vĩnh Lộc,2026-11,Chứng thực,22,20,15,11,5.8
DV08,Xã Vĩnh Lộc,2026-11,Bảo trợ xã hội,5,4,2,1,5.7
DV08,Xã Vĩnh Lộc,2026-11,Đăng ký kinh doanh,4,3,2,1,4.8
DV08,Xã Vĩnh Lộc,2026-12,Hộ tịch,16,15,10,5,4.9
DV08,Xã Vĩnh Lộc,2026-12,Đất đai,9,8,5,3,5.5
DV08,Xã Vĩnh Lộc,2026-12,Chứng thực,19,18,13,7,5.2
DV08,Xã Vĩnh Lộc,2026-12,Bảo trợ xã hội,4,3,2,1,5.1
DV08,Xã Vĩnh Lộc,2026-12,Đăng ký kinh doanh,4,3,2,1,4.6
DV09,Xã An Cư,2026-01,Hộ tịch,7,6,3,3,5.5
DV09,Xã An Cư,2026-01,Đất đai,3,2,1,1,5.2
DV09,Xã An Cư,2026-01,Chứng thực,11,10,6,3,5.6
DV09,Xã An Cư,2026-01,Bảo trợ xã hội,3,2,1,0,5.9
DV09,Xã An Cư,2026-01,Đăng ký kinh doanh,3,2,1,0,6.4
DV09,Xã An Cư,2026-02,Hộ tịch,7,6,3,2,5.4
DV09,Xã An Cư,2026-02,Đất đai,4,3,1,1,5.5
DV09,Xã An Cư,2026-02,Chứng thực,7,6,3,2,5.3
DV09,Xã An Cư,2026-02,Bảo trợ xã hội,3,2,1,1,5.6
DV09,Xã An Cư,2026-02,Đăng ký kinh doanh,3,2,1,1,5.6
DV09,Xã An Cư,2026-03,Hộ tịch,8,7,4,2,5.9
DV09,Xã An Cư,2026-03,Đất đai,6,5,3,2,5.8
DV09,Xã An Cư,2026-03,Chứng thực,12,11,6,4,5.8
DV09,Xã An Cư,2026-03,Bảo trợ xã hội,3,2,1,1,6.3
DV09,Xã An Cư,2026-03,Đăng ký kinh doanh,3,2,1,1,6.1
DV09,Xã An Cư,2026-04,Hộ tịch,11,10,6,3,6.0
DV09,Xã An Cư,2026-04,Đất đai,6,5,3,2,6.2
DV09,Xã An Cư,2026-04,Chứng thực,11,10,6,3,5.1
DV09,Xã An Cư,2026-04,Bảo trợ xã hội,3,2,1,1,5.5
DV09,Xã An Cư,2026-04,Đăng ký kinh doanh,3,2,1,1,6.1
DV09,Xã An Cư,2026-05,Hộ tịch,11,10,6,,5.2
DV09,Xã An Cư,2026-05,Đất đai,4,3,1,1,5.2
DV09,Xã An Cư,2026-05,Chứng thực,13,12,7,4,5.2
DV09,Xã An Cư,2026-05,Bảo trợ xã hội,3,2,1,1,5.8
DV09,Xã An Cư,2026-05,Đăng ký kinh doanh,3,2,1,1,6.3
DV09,Xã An Cư,2026-06,Hộ tịch,11,10,6,3,5.6
DV09,Xã An Cư,2026-06,Đất đai,7,6,3,2,5.4
DV09,Xã An Cư,2026-06,Chứng thực,17,16,10,5,6.1
DV09,Xã An Cư,2026-06,Bảo trợ xã hội,4,3,1,1,5.5
DV09,Xã An Cư,2026-06,Đăng ký kinh doanh,3,2,1,0,5.3
DV09,Xã An Cư,2026-07,Hộ tịch,8,7,4,3,5.9
DV09,Xã An Cư,2026-07,Đất đai,5,4,2,1,5.5
DV09,Xã An Cư,2026-07,Chứng thực,14,13,8,4,5.9
DV09,Xã An Cư,2026-07,Bảo trợ xã hội,3,2,1,1,5.3
DV09,Xã An Cư,2026-07,Đăng ký kinh doanh,3,2,1,1,6.0
DV09,Xã An Cư,2026-08,Hộ tịch,10,9,5,4,5.6
DV09,Xã An Cư,2026-08,Đất đai,6,5,3,2,5.0
DV09,Xã An Cư,2026-08,Chứng thực,14,13,8,6,6.2
DV09,Xã An Cư,2026-08,Bảo trợ xã hội,3,2,1,1,5.9
DV09,Xã An Cư,2026-08,Đăng ký kinh doanh,3,2,1,1,5.9
DV09,Xã An Cư,2026-09,Hộ tịch,11,10,6,3,5.1
DV09,Xã An Cư,2026-09,Đất đai,5,4,2,2,5.4
DV09,Xã An Cư,2026-09,Chứng thực,12,11,7,4,5.5
DV09,Xã An Cư,2026-09,Bảo trợ xã hội,3,2,1,1,5.1
DV09,Xã An Cư,2026-09,Đăng ký kinh doanh,3,2,1,1,5.9
DV09,Xã An Cư,2026-10,Hộ tịch,8,7,4,2,5.6
DV09,Xã An Cư,2026-10,Đất đai,6,5,3,1,5.6
DV09,Xã An Cư,2026-10,Chứng thực,12,11,7,4,5.2
DV09,Xã An Cư,2026-10,Bảo trợ xã hội,3,2,1,1,5.2
DV09,Xã An Cư,2026-10,Đăng ký kinh doanh,3,2,1,1,5.2
DV09,Xã An Cư,2026-11,Hộ tịch,9,8,4,3,6.2
DV09,Xã An Cư,2026-11,Đất đai,5,4,2,2,6.4
DV09,Xã An Cư,2026-11,Chứng thực,14,13,8,5,5.9
DV09,Xã An Cư,2026-11,Bảo trợ xã hội,3,2,1,1,5.5
DV09,Xã An Cư,2026-11,Đăng ký kinh doanh,3,2,1,0,5.1
DV09,Xã An Cư,2026-12,Hộ tịch,12,11,7,4,6.0
DV09,Xã An Cư,2026-12,Đất đai,7,6,3,2,5.5
DV09,Xã An Cư,2026-12,Chứng thực,16,15,9,6,5.2
DV09,Xã An Cư,2026-12,Bảo trợ xã hội,3,2,1,0,5.4
DV09,Xã An Cư,2026-12,Đăng ký kinh doanh,3,2,1,0,6.3
DV10,Xã Thanh Sơn,2026-01,Hộ tịch,5,4,2,1,5.6
DV10,Xã Thanh Sơn,2026-01,Đất đai,3,2,1,0,5.8
DV10,Xã Thanh Sơn,2026-01,Chứng thực,10,9,5,2,6.3
DV10,Xã Thanh Sơn,2026-01,Bảo trợ xã hội,3,2,1,0,6.2
DV10,Xã Thanh Sơn,2026-01,Đăng ký kinh doanh,3,2,1,1,6.4
DV10,Xã Thanh Sơn,2026-02,Hộ tịch,5,4,2,1,5.9
DV10,Xã Thanh Sơn,2026-02,Đất đai,4,3,1,1,6.6
DV10,Xã Thanh Sơn,2026-02,Chứng thực,8,7,4,2,6.0
DV10,Xã Thanh Sơn,2026-02,Bảo trợ xã hội,3,2,1,1,5.8
DV10,Xã Thanh Sơn,2026-02,Đăng ký kinh doanh,3,2,1,1,5.8
DV10,Xã Thanh Sơn,2026-03,Hộ tịch,9,8,4,2,5.6
DV10,Xã Thanh Sơn,2026-03,Đất đai,6,5,3,2,6.1
DV10,Xã Thanh Sơn,2026-03,Chứng thực,12,11,6,3,7.0
DV10,Xã Thanh Sơn,2026-03,Bảo trợ xã hội,3,2,1,1,6.7
DV10,Xã Thanh Sơn,2026-03,Đăng ký kinh doanh,3,2,1,1,6.2
DV10,Xã Thanh Sơn,2026-04,Hộ tịch,8,7,4,3,6.7
DV10,Xã Thanh Sơn,2026-04,Đất đai,5,4,2,1,7.0
DV10,Xã Thanh Sơn,2026-04,Chứng thực,14,13,7,4,5.7
DV10,Xã Thanh Sơn,2026-04,Bảo trợ xã hội,3,2,1,1,5.8
DV10,Xã Thanh Sơn,2026-04,Đăng ký kinh doanh,3,2,1,0,6.7
DV10,Xã Thanh Sơn,2026-05,Hộ tịch,10,9,5,3,6.3
DV10,Xã Thanh Sơn,2026-05,Đất đai,4,3,1,1,6.2
DV10,Xã Thanh Sơn,2026-05,Chứng thực,13,12,7,4,6.2
DV10,Xã Thanh Sơn,2026-05,Bảo trợ xã hội,3,2,1,1,5.7
DV10,Xã Thanh Sơn,2026-05,Đăng ký kinh doanh,3,2,1,1,5.7
DV10,Xã Thanh Sơn,2026-06,Hộ tịch,12,11,6,4,6.4
DV10,Xã Thanh Sơn,2026-06,Đất đai,6,5,3,1,7.0
DV10,Xã Thanh Sơn,2026-06,Chứng thực,17,16,9,5,6.0
DV10,Xã Thanh Sơn,2026-06,Bảo trợ xã hội,3,2,1,1,6.0
DV10,Xã Thanh Sơn,2026-06,Đăng ký kinh doanh,3,2,1,1,6.6
DV10,Xã Thanh Sơn,2026-07,Hộ tịch,8,7,3,2,5.7
DV10,Xã Thanh Sơn,2026-07,Đất đai,6,5,2,1,68.0
DV10,Xã Thanh Sơn,2026-07,Chứng thực,14,13,7,4,6.2
DV10,Xã Thanh Sơn,2026-07,Bảo trợ xã hội,3,2,1,1,5.6
DV10,Xã Thanh Sơn,2026-07,Đăng ký kinh doanh,3,2,1,1,6.5
DV10,Xã Thanh Sơn,2026-08,Hộ tịch,11,10,5,4,5.7
DV10,Xã Thanh Sơn,2026-08,Đất đai,6,5,2,2,6.6
DV10,Xã Thanh Sơn,2026-08,Chứng thực,10,9,5,,7.0
DV10,Xã Thanh Sơn,2026-08,Bảo trợ xã hội,3,2,1,0,5.6
DV10,Xã Thanh Sơn,2026-08,Đăng ký kinh doanh,3,2,1,1,6.3
DV10,Xã Thanh Sơn,2026-09,Hộ tịch,8,7,3,2,5.6
DV10,Xã Thanh Sơn,2026-09,Đất đai,5,4,2,1,6.8
DV10,Xã Thanh Sơn,2026-09,Chứng thực,14,13,7,4,6.7
DV10,Xã Thanh Sơn,2026-09,Bảo trợ xã hội,3,2,1,1,6.7
DV10,Xã Thanh Sơn,2026-09,Đăng ký kinh doanh,3,2,1,0,6.1
DV10,Xã Thanh Sơn,2026-10,Hộ tịch,10,9,5,3,5.9
DV10,Xã Thanh Sơn,2026-10,Đất đai,4,3,1,1,6.7
DV10,Xã Thanh Sơn,2026-10,Chứng thực,10,9,4,3,6.3
DV10,Xã Thanh Sơn,2026-10,Bảo trợ xã hội,3,2,1,1,5.7
DV10,Xã Thanh Sơn,2026-10,Đăng ký kinh doanh,3,2,1,0,5.8
DV10,Xã Thanh Sơn,2026-11,Hộ tịch,10,9,5,2,5.8
DV10,Xã Thanh Sơn,2026-11,Đất đai,4,3,1,1,5.6
DV10,Xã Thanh Sơn,2026-11,Chứng thực,14,13,7,5,6.6
DV10,Xã Thanh Sơn,2026-11,Bảo trợ xã hội,3,2,1,0,6.8
DV10,Xã Thanh Sơn,2026-11,Đăng ký kinh doanh,3,2,1,1,6.2
DV10,Xã Thanh Sơn,2026-12,Hộ tịch,10,9,5,3,6.6
DV10,Xã Thanh Sơn,2026-12,Đất đai,7,6,3,2,6.6
DV10,Xã Thanh Sơn,2026-12,Chứng thực,13,12,6,5,5.8
DV10,Xã Thanh Sơn,2026-12,Bảo trợ xã hội,3,2,1,1,6.9
DV10,Xã Thanh Sơn,2026-12,Đăng ký kinh doanh,3,2,1,0,6.8
DV11,Xã Mỹ Khánh,2026-01,Hộ tịch,12,11,9,6,3.9
DV11,Xã Mỹ Khánh,2026-01,Đất đai,6,5,4,3,3.7
DV11,Xã Mỹ Khánh,2026-01,Chứng thực,18,17,15,10,3.3
DV11,Xã Mỹ Khánh,2026-01,Bảo trợ xã hội,3,2,1,1,3.6
DV11,Xã Mỹ Khánh,2026-01,Đăng ký kinh doanh,3,2,1,1,3.3
DV11,Xã Mỹ Khánh,2026-02,Hộ tịch,11,10,8,5,3.9
DV11,Xã Mỹ Khánh,2026-02,Đất đai,5,4,3,2,3.3
DV11,Xã Mỹ Khánh,2026-02,Chứng thực,15,14,11,7,3.5
DV11,Xã Mỹ Khánh,2026-02,Bảo trợ xã hội,3,2,1,1,3.6
DV11,Xã Mỹ Khánh,2026-02,Đăng ký kinh doanh,3,2,1,1,4.3
DV11,Xã Mỹ Khánh,2026-03,Hộ tịch,15,14,11,9,3.8
DV11,Xã Mỹ Khánh,2026-03,Đất đai,9,8,6,5,3.4
DV11,Xã Mỹ Khánh,2026-03,Chứng thực,19,18,15,10,3.3
DV11,Xã Mỹ Khánh,2026-03,Bảo trợ xã hội,5,4,3,3,3.2
DV11,Xã Mỹ Khánh,2026-03,Đăng ký kinh doanh,4,3,2,2,3.7
DV11,Xã Mỹ Khánh,2026-04,Hộ tịch,17,16,13,7,3.4
DV11,Xã Mỹ Khánh,2026-04,Đất đai,7,6,4,3,4.5
DV11,Xã Mỹ Khánh,2026-04,Chứng thực,20,19,16,12,4.3
DV11,Xã Mỹ Khánh,2026-04,Bảo trợ xã hội,5,4,3,2,3.3
DV11,Xã Mỹ Khánh,2026-04,Đăng ký kinh doanh,4,3,2,2,3.4
DV11,Xã Mỹ Khánh,2026-05,Hộ tịch,13,12,10,7,4.4
DV11,Xã Mỹ Khánh,2026-05,Đất đai,8,7,5,3,3.4
DV11,Xã Mỹ Khánh,2026-05,Chứng thực,21,19,16,11,3.7
DV11,Xã Mỹ Khánh,2026-05,Bảo trợ xã hội,5,4,3,2,4.3
DV11,Xã Mỹ Khánh,2026-05,Đăng ký kinh doanh,3,2,1,1,3.9
DV11,Xã Mỹ Khánh,2026-06,Hộ tịch,22,21,18,12,3.3
DV11,Xã Mỹ Khánh,2026-06,Đất đai,12,11,9,7,3.8
DV11,Xã Mỹ Khánh,2026-06,Chứng thực,29,28,22,16,4.0
DV11,Xã Mỹ Khánh,2026-06,Bảo trợ xã hội,6,5,4,3,4.0
DV11,Xã Mỹ Khánh,2026-06,Đăng ký kinh doanh,5,4,3,2,4.2
DV11,Xã Mỹ Khánh,2026-07,Hộ tịch,16,15,12,6,4.3
DV11,Xã Mỹ Khánh,2026-07,Đất đai,8,7,5,4,3.3
DV11,Xã Mỹ Khánh,2026-07,Chứng thực,17,16,14,8,3.2
DV11,Xã Mỹ Khánh,2026-07,Bảo trợ xã hội,5,4,3,2,4.3
DV11,Xã Mỹ Khánh,2026-07,Đăng ký kinh doanh,4,3,2,1,3.6
DV11,Xã Mỹ Khánh,2026-08,Hộ tịch,16,15,12,9,4.3
DV11,Xã Mỹ Khánh,2026-08,Đất đai,11,10,8,4,4.2
DV11,Xã Mỹ Khánh,2026-08,Chứng thực,22,21,17,14,3.2
DV11,Xã Mỹ Khánh,2026-08,Bảo trợ xã hội,4,3,2,2,3.8
DV11,Xã Mỹ Khánh,2026-08,Đăng ký kinh doanh,4,3,2,2,4.2
DV11,Xã Mỹ Khánh,2026-09,Hộ tịch,15,13,10,7,3.7
DV11,Xã Mỹ Khánh,2026-09,Đất đai,9,8,6,5,4.2
DV11,Xã Mỹ Khánh,2026-09,Chứng thực,25,24,20,14,3.9
DV11,Xã Mỹ Khánh,2026-09,Bảo trợ xã hội,4,3,2,2,3.3
DV11,Xã Mỹ Khánh,2026-09,Đăng ký kinh doanh,4,3,2,2,4.3
DV11,Xã Mỹ Khánh,2026-10,Hộ tịch,18,16,13,8,3.8
DV11,Xã Mỹ Khánh,2026-10,Đất đai,9,8,7,4,3.2
DV11,Xã Mỹ Khánh,2026-10,Chứng thực,18,16,14,10,3.3
DV11,Xã Mỹ Khánh,2026-10,Bảo trợ xã hội,4,3,2,2,4.2
DV11,Xã Mỹ Khánh,2026-10,Đăng ký kinh doanh,4,3,2,2,4.3
DV11,Xã Mỹ Khánh,2026-11,Hộ tịch,17,15,12,11,4.3
DV11,Xã Mỹ Khánh,2026-11,Đất đai,10,9,7,4,4.2
DV11,Xã Mỹ Khánh,2026-11,Chứng thực,24,22,19,15,4.2
DV11,Xã Mỹ Khánh,2026-11,Bảo trợ xã hội,4,3,2,2,4.0
DV11,Xã Mỹ Khánh,2026-11,Đăng ký kinh doanh,3,2,1,1,3.3
DV11,Xã Mỹ Khánh,2026-12,Hộ tịch,16,15,12,7,4.4
DV11,Xã Mỹ Khánh,2026-12,Đất đai,12,11,8,6,4.4
DV11,Xã Mỹ Khánh,2026-12,Chứng thực,27,26,22,14,3.5
DV11,Xã Mỹ Khánh,2026-12,Bảo trợ xã hội,5,4,3,2,3.2
DV11,Xã Mỹ Khánh,2026-12,Đăng ký kinh doanh,4,3,2,2,3.3
DV12,Xã Hương Trà,2026-01,Hộ tịch,8,7,4,3,4.6
DV12,Xã Hương Trà,2026-01,Đất đai,5,4,2,1,5.4
DV12,Xã Hương Trà,2026-01,Chứng thực,13,12,7,5,5.5
DV12,Xã Hương Trà,2026-01,Bảo trợ xã hội,3,2,1,1,5.3
DV12,Xã Hương Trà,2026-01,Đăng ký kinh doanh,3,2,1,1,5.2
DV12,Xã Hương Trà,2026-02,Hộ tịch,6,5,3,2,4.7
DV12,Xã Hương Trà,2026-02,Đất đai,4,3,2,1,4.9
DV12,Xã Hương Trà,2026-02,Chứng thực,10,9,6,3,4.8
DV12,Xã Hương Trà,2026-02,Bảo trợ xã hội,3,2,1,1,6.0
DV12,Xã Hương Trà,2026-02,Đăng ký kinh doanh,3,2,1,1,5.4
DV12,Xã Hương Trà,2026-03,Hộ tịch,13,12,8,5,5.1
DV12,Xã Hương Trà,2026-03,Đất đai,7,6,4,3,5.2
DV12,Xã Hương Trà,2026-03,Chứng thực,13,12,8,5,4.6
DV12,Xã Hương Trà,2026-03,Bảo trợ xã hội,4,3,1,1,5.6
DV12,Xã Hương Trà,2026-03,Đăng ký kinh doanh,3,2,1,1,5.6
DV12,Xã Hương Trà,2026-04,Hộ tịch,11,10,6,4,4.7
DV12,Xã Hương Trà,2026-04,Đất đai,7,6,4,2,4.7
DV12,Xã Hương Trà,2026-04,Chứng thực,19,18,13,8,5.9
DV12,Xã Hương Trà,2026-04,Bảo trợ xã hội,3,2,1,1,5.4
DV12,Xã Hương Trà,2026-04,Đăng ký kinh doanh,3,2,1,1,5.4
